iter	Passed	Remaining
0	27	8209
1	54	8078
2	78	7774
3	104	7758
4	132	7797
5	157	7720
6	184	7703
7	209	7645
8	250	8089
9	279	8100
10	308	8096
11	334	8016
12	357	7900
13	381	7793
14	407	7735
15	435	7731
16	460	7661
17	484	7596
18	509	7537
19	536	7504
20	563	7485
21	588	7434
22	613	7389
23	639	7353
24	665	7323
25	692	7293
26	720	7282
27	748	7266
28	785	7340
29	815	7339
30	841	7300
31	873	7312
32	914	7395
33	950	7439
34	976	7392
35	1011	7417
36	1038	7378
37	1067	7361
38	1093	7318
39	1120	7285
40	1147	7249
41	1174	7216
42	1214	7256
43	1242	7229
44	1265	7171
45	1293	7141
46	1321	7112
47	1347	7072
48	1374	7041
49	1401	7009
50	1427	6971
51	1455	6941
52	1481	6904
53	1509	6875
54	1535	6841
55	1562	6809
56	1595	6801
57	1622	6771
58	1654	6757
59	1683	6732
60	1721	6745
61	1748	6711
62	1774	6677
63	1803	6650
64	1830	6616
65	1856	6582
66	1885	6557
67	1914	6530
68	1940	6497
69	1968	6467
70	1995	6436
71	2025	6415
72	2052	6382
73	2091	6387
74	2119	6357
75	2149	6334
76	2175	6301
77	2202	6267
78	2229	6236
79	2260	6216
80	2289	6190
81	2316	6158
82	2338	6115
83	2361	6071
84	2384	6030
85	2406	5988
86	2429	5948
87	2452	5907
88	2474	5866
89	2495	5823
90	2516	5780
91	2537	5737
92	2559	5697
93	2585	5667
94	2614	5640
95	2644	5619
96	2667	5582
97	2691	5547
98	2716	5515
99	2743	5486
100	2769	5456
101	2792	5421
102	2817	5388
103	2842	5357
104	2870	5330
105	2895	5299
106	2919	5265
107	2946	5237
108	2979	5221
109	3005	5192
110	3032	5163
111	3058	5134
112	3084	5104
113	3108	5071
114	3131	5038
115	3155	5004
116	3186	4984
117	3209	4950
118	3237	4923
119	3262	4893
120	3288	4864
121	3314	4836
122	3340	4806
123	3365	4776
124	3394	4751
125	3417	4719
126	3439	4685
127	3465	4656
