iter	Passed	Remaining
0	23	7013
1	48	7291
2	77	7640
3	104	7711
4	130	7679
5	155	7639
6	182	7634
7	211	7709
8	235	7623
9	260	7544
10	286	7517
11	310	7463
12	337	7452
13	360	7364
14	385	7322
15	412	7323
16	444	7391
17	469	7354
18	495	7334
19	521	7302
20	547	7274
21	572	7234
22	597	7192
23	623	7174
24	649	7149
25	674	7107
26	702	7107
27	729	7084
28	754	7047
29	780	7026
30	804	6984
31	830	6957
32	858	6942
33	884	6919
34	913	6915
35	938	6880
36	967	6873
37	995	6865
38	1022	6843
39	1056	6864
40	1083	6844
41	1111	6826
42	1141	6822
43	1166	6785
44	1193	6763
45	1220	6739
46	1245	6703
47	1272	6678
48	1297	6648
49	1325	6628
50	1349	6588
51	1382	6592
52	1410	6575
53	1440	6564
54	1465	6525
55	1487	6480
56	1513	6451
57	1546	6454
58	1571	6417
59	1594	6379
60	1623	6360
61	1655	6355
62	1680	6320
63	1705	6287
64	1731	6261
65	1761	6245
66	1786	6214
67	1816	6196
68	1846	6181
69	1874	6159
70	1904	6141
71	1927	6103
72	1953	6073
73	1976	6036
74	2001	6005
75	2027	5974
76	2053	5946
77	2080	5920
78	2105	5889
79	2137	5879
80	2170	5868
81	2201	5853
82	2229	5828
83	2258	5806
84	2290	5793
85	2314	5759
86	2343	5737
87	2372	5716
88	2401	5692
89	2428	5666
90	2453	5634
91	2481	5609
