iter	Accuracy	Logloss
0	0.7427716849	0.6667391624
1	0.7706879362	0.6401516276
2	0.8265204387	0.6188560782
3	0.813559322	0.5986701151
4	0.814556331	0.5817496242
5	0.8225324028	0.5627664127
6	0.8275174477	0.5448054031
7	0.8325024925	0.5259645867
8	0.8275174477	0.5168642023
9	0.8354935194	0.5032930079
10	0.8364905284	0.4941933842
11	0.8364905284	0.4853365928
12	0.8354935194	0.4745156011
13	0.8344965105	0.4668825555
14	0.8325024925	0.4564409494
15	0.8265204387	0.4485612681
16	0.8295114656	0.4398092648
17	0.8354935194	0.4323065958
18	0.8364905284	0.4267148506
19	0.8414755733	0.4199739953
20	0.8394815553	0.4160343676
21	0.8384845464	0.4077909095
22	0.8414755733	0.4023799877
23	0.8454636092	0.3972905807
24	0.8454636092	0.3951160435
25	0.8474576271	0.3898693324
26	0.8464606181	0.3849570064
27	0.852442672	0.3816640898
28	0.850448654	0.3773559083
29	0.853439681	0.373707004
30	0.8554336989	0.3705081046
31	0.8544366899	0.367837284
32	0.8544366899	0.3638838733
33	0.853439681	0.3607827032
34	0.8554336989	0.359235678
35	0.851445663	0.3564681931
36	0.853439681	0.3540640286
37	0.853439681	0.353298077
38	0.853439681	0.3503075369
39	0.853439681	0.3476516252
40	0.8544366899	0.3448901647
41	0.853439681	0.3428240669
42	0.8544366899	0.3412994963
43	0.8564307079	0.3375663415
44	0.8594217348	0.3351480897
45	0.8594217348	0.3347622538
46	0.8594217348	0.3327647064
47	0.8584247258	0.331568466
48	0.8584247258	0.3309496559
49	0.8594217348	0.3288602211
50	0.8614157527	0.3268106447
51	0.8614157527	0.3243926363
52	0.8604187438	0.3224843292
53	0.8604187438	0.3200472435
54	0.8604187438	0.3186496723
55	0.8604187438	0.3177125119
56	0.8604187438	0.315599588
57	0.8614157527	0.3152394319
58	0.8634097707	0.3138976016
59	0.8644067797	0.3126923551
60	0.8644067797	0.3114261342
61	0.8654037886	0.3095519046
62	0.8654037886	0.3077487508
63	0.8664007976	0.307239445
64	0.8664007976	0.3060332552
65	0.8673978066	0.3051319978
66	0.8664007976	0.30394522
67	0.8673978066	0.3032826569
68	0.8654037886	0.3020400164
69	0.8654037886	0.3010517398
70	0.8673978066	0.3005403954
71	0.8654037886	0.2994149875
72	0.8664007976	0.2992201374
73	0.8673978066	0.2982131486
74	0.8683948156	0.2970121922
75	0.8703888335	0.2958403233
76	0.8733798604	0.2948336387
77	0.8733798604	0.2939652113
78	0.8733798604	0.292966894
79	0.8753738784	0.2918341837
80	0.8753738784	0.2909778355
81	0.8763708873	0.2903050492
82	0.8753738784	0.2900032812
83	0.8753738784	0.2888765649
84	0.8753738784	0.2878717668
85	0.8773678963	0.286789412
86	0.8763708873	0.2859581351
87	0.8793619143	0.2855006757
88	0.8793619143	0.2842223452
89	0.8763708873	0.2833479846
90	0.8783649053	0.2824805612
91	0.8773678963	0.2822267755
