iter	Passed	Remaining
0	24	7340
1	48	7183
2	72	7212
3	95	7100
4	124	7334
5	147	7230
6	170	7148
7	194	7117
8	218	7056
9	243	7071
10	267	7024
11	292	7030
12	315	6971
13	340	6958
14	364	6923
15	390	6928
16	414	6903
17	440	6903
18	465	6877
19	496	6956
20	520	6910
21	542	6860
22	566	6819
23	593	6825
24	616	6780
25	639	6739
26	665	6733
27	690	6708
28	715	6682
29	739	6658
30	763	6622
31	788	6600
32	810	6555
33	833	6522
34	857	6488
35	884	6485
36	907	6448
37	930	6418
38	954	6390
39	978	6357
40	1000	6322
41	1027	6309
42	1050	6277
43	1076	6265
44	1102	6247
45	1125	6215
46	1149	6186
47	1173	6162
48	1199	6145
49	1225	6126
50	1267	6190
51	1296	6185
52	1320	6153
53	1344	6123
54	1368	6094
55	1392	6067
56	1416	6039
57	1439	6007
58	1463	5977
59	1489	5957
60	1515	5937
61	1538	5905
62	1562	5879
63	1586	5849
64	1608	5814
65	1632	5788
66	1656	5760
67	1680	5735
68	1704	5705
69	1728	5678
70	1759	5674
71	1786	5657
72	1810	5630
73	1844	5631
74	1868	5605
75	1895	5585
76	1924	5572
77	1957	5571
78	1984	5550
79	2007	5521
80	2033	5498
81	2057	5469
82	2082	5443
83	2105	5414
84	2130	5389
85	2154	5361
86	2178	5333
87	2203	5308
88	2229	5286
89	2252	5256
90	2277	5231
91	2302	5206
92	2329	5186
93	2354	5160
94	2378	5132
95	2400	5102
96	2425	5075
97	2448	5047
98	2473	5021
99	2498	4997
100	2527	4979
101	2548	4946
102	2571	4918
103	2595	4890
104	2618	4863
105	2642	4835
106	2665	4808
107	2689	4781
108	2715	4758
109	2740	4734
110	2766	4710
111	2790	4684
112	2815	4659
113	2840	4633
114	2863	4606
115	2887	4580
116	2911	4553
117	2934	4526
118	2958	4500
119	2982	4473
120	3006	4447
121	3029	4420
122	3054	4395
123	3078	4369
124	3103	4344
125	3128	4320
126	3154	4297
127	3179	4272
128	3203	4245
129	3228	4221
130	3252	4196
131	3276	4169
132	3300	4144
133	3325	4119
134	3350	4094
135	3375	4070
136	3399	4045
137	3429	4025
138	3453	3999
139	3478	3975
140	3502	3949
141	3527	3924
142	3551	3899
143	3574	3872
144	3597	3846
145	3622	3820
146	3646	3795
147	3669	3769
148	3693	3743
149	3715	3715
150	3741	3691
151	3762	3663
152	3785	3637
153	3811	3613
154	3835	3587
155	3858	3561
156	3882	3536
157	3904	3509
158	3928	3483
159	3954	3459
160	3977	3433
161	4000	3407
162	4026	3384
163	4053	3361
164	4076	3335
165	4099	3309
166	4124	3284
167	4148	3259
168	4173	3234
169	4196	3208
170	4219	3183
171	4243	3157
172	4266	3132
173	4291	3107
174	4315	3082
175	4341	3058
176	4366	3034
177	4391	3009
178	4415	2984
179	4441	2960
180	4463	2934
181	4488	2910
182	4512	2884
183	4545	2865
184	4571	2841
185	4597	2818
186	4621	2792
187	4644	2767
188	4669	2742
189	4691	2716
190	4714	2690
191	4739	2666
192	4764	2641
193	4788	2616
194	4812	2591
195	4841	2569
196	4892	2558
197	4916	2532
198	4940	2507
199	4967	2483
200	4992	2458
201	5017	2434
202	5042	2409
203	5068	2385
204	5094	2361
205	5123	2337
206	5147	2312
207	5170	2287
208	5195	2262
209	5219	2237
210	5243	2211
211	5269	2187
212	5293	2162
213	5318	2137
214	5341	2111
215	5364	2086
216	5388	2061
217	5415	2036
218	5440	2012
219	5464	1987
220	5489	1962
221	5512	1936
222	5537	1912
223	5561	1886
224	5587	1862
225	5611	1837
226	5634	1811
227	5656	1786
228	5681	1761
229	5710	1737
230	5734	1712
231	5759	1688
232	5782	1662
233	5805	1637
234	5830	1612
235	5854	1587
236	5879	1562
237	5903	1537
238	5927	1512
239	5953	1488
240	5985	1465
241	6010	1440
242	6033	1415
243	6061	1391
244	6084	1365
245	6108	1340
246	6131	1315
247	6155	1290
248	6179	1265
249	6204	1240
250	6232	1216
251	6256	1191
252	6280	1166
253	6306	1142
254	6332	1117
255	6358	1092
256	6389	1069
257	6414	1044
258	6438	1019
259	6461	994
260	6488	969
261	6510	944
262	6533	919
263	6558	894
264	6583	869
265	6607	844
266	6631	819
267	6654	794
268	6677	769
269	6702	744
270	6727	719
271	6763	696
272	6790	671
273	6813	646
274	6837	621
275	6863	596
276	6887	571
277	6911	546
278	6936	522
279	6960	497
280	6983	472
281	7007	447
282	7033	422
283	7059	397
284	7083	372
285	7107	347
286	7132	323
287	7155	298
288	7179	273
289	7204	248
290	7227	223
291	7252	198
