iter	Accuracy	Logloss
0	0.7571884984	0.6729220064
1	0.7699680511	0.6431438702
2	0.8003194888	0.6205073835
3	0.838658147	0.5968034153
4	0.8418530351	0.5758924393
5	0.838658147	0.5606004026
6	0.8450479233	0.547271046
7	0.8402555911	0.5354029256
8	0.8402555911	0.5248355561
9	0.8498402556	0.5103162577
10	0.8466453674	0.5016100216
11	0.8514376997	0.4902992127
12	0.8594249201	0.4794917
13	0.8498402556	0.4712752565
14	0.8530351438	0.4635723467
15	0.8482428115	0.4565400437
16	0.8530351438	0.4493661704
17	0.8530351438	0.4432690898
18	0.8610223642	0.4357796081
19	0.8642172524	0.4308992331
20	0.8642172524	0.4247382898
21	0.8690095847	0.4172200943
22	0.8674121406	0.4117178627
23	0.8642172524	0.4045942508
24	0.8674121406	0.4020515418
25	0.8690095847	0.3975582671
26	0.8674121406	0.3908780131
27	0.8690095847	0.3887476571
28	0.8706070288	0.386896493
29	0.8674121406	0.3827996787
30	0.8674121406	0.3802274271
31	0.8642172524	0.3784378832
32	0.8674121406	0.3768994999
33	0.8674121406	0.3722681893
34	0.8690095847	0.3704993641
35	0.875399361	0.3671460136
36	0.8769968051	0.3647055824
37	0.875399361	0.3623564601
38	0.875399361	0.3591970864
39	0.8738019169	0.3557160106
40	0.8722044728	0.3534374785
41	0.8722044728	0.3514879123
42	0.8738019169	0.3495657924
43	0.8722044728	0.346567221
44	0.875399361	0.3426831279
45	0.8722044728	0.3403059743
46	0.875399361	0.3380806774
47	0.8769968051	0.3356065354
48	0.8738019169	0.333996855
49	0.8769968051	0.33300596
50	0.875399361	0.3311060214
51	0.8769968051	0.3300787588
52	0.8801916933	0.3274863246
53	0.8801916933	0.3259075518
54	0.8817891374	0.325013182
55	0.8833865815	0.3234786256
56	0.8849840256	0.3224366892
57	0.8881789137	0.32078211
58	0.8833865815	0.3188817082
59	0.8849840256	0.3178628794
60	0.8881789137	0.3160806235
61	0.8833865815	0.3146191679
62	0.8897763578	0.3139094636
63	0.8897763578	0.3136853349
64	0.8865814696	0.3121064159
65	0.8897763578	0.3107598399
66	0.8881789137	0.309676929
67	0.8881789137	0.3086119094
68	0.8881789137	0.3074299383
69	0.8849840256	0.3067471928
70	0.8849840256	0.305340776
71	0.8849840256	0.3043416666
72	0.8865814696	0.3035015557
73	0.8849840256	0.3028520578
74	0.8833865815	0.3018668422
75	0.8817891374	0.3008377026
76	0.8833865815	0.2999237597
77	0.8865814696	0.2989415665
78	0.8865814696	0.2987704536
79	0.8833865815	0.2981223694
80	0.8849840256	0.2977864323
81	0.8897763578	0.2967178296
82	0.8897763578	0.2963103273
83	0.8881789137	0.2953114129
84	0.8897763578	0.293842986
85	0.8881789137	0.2933338153
86	0.8865814696	0.2926973581
87	0.8897763578	0.2920206576
88	0.8897763578	0.2908016851
89	0.8881789137	0.2896520353
90	0.8881789137	0.2889440859
91	0.8881789137	0.2887251004
92	0.8881789137	0.2879605278
93	0.8897763578	0.287304668
94	0.8881789137	0.2861801732
95	0.8865814696	0.2852331289
96	0.8897763578	0.2840529616
97	0.8897763578	0.2840449422
98	0.8897763578	0.2832737396
99	0.8897763578	0.282920813
100	0.8897763578	0.2816459485
101	0.8897763578	0.2816102634
102	0.8881789137	0.2805168225
103	0.8881789137	0.2786301683
104	0.8913738019	0.2772140747
105	0.892971246	0.2766045275
106	0.892971246	0.2762989861
107	0.892971246	0.2760460704
108	0.8913738019	0.2750626585
109	0.8913738019	0.274570916
110	0.8913738019	0.2737211282
111	0.892971246	0.2731446336
112	0.892971246	0.2717615682
113	0.892971246	0.2710993953
114	0.892971246	0.2708463577
115	0.892971246	0.2701733379
116	0.8945686901	0.269677281
117	0.8945686901	0.2688593758
118	0.8945686901	0.2686478002
119	0.8945686901	0.2679461641
120	0.8977635783	0.2668526256
121	0.8961661342	0.2662252847
122	0.8977635783	0.2657160652
123	0.8993610224	0.2655967981
124	0.8993610224	0.264938647
125	0.8993610224	0.264599273
126	0.8993610224	0.2644023469
127	0.8993610224	0.2628980886
128	0.9009584665	0.2627756283
129	0.9009584665	0.2621552586
130	0.9025559105	0.2618126915
131	0.9025559105	0.2611806461
132	0.9057507987	0.2596478447
133	0.9057507987	0.2586829822
134	0.9057507987	0.2581016614
135	0.9057507987	0.2577002041
136	0.9057507987	0.2569252477
137	0.9057507987	0.2562133009
138	0.9057507987	0.2552540935
139	0.9057507987	0.2551728757
140	0.9057507987	0.2549367301
141	0.9041533546	0.2542244664
142	0.9041533546	0.2540194722
143	0.9057507987	0.2538807049
144	0.9057507987	0.2538009985
145	0.9057507987	0.2536701531
146	0.9089456869	0.2529900889
147	0.9089456869	0.2525920929
148	0.9073482428	0.2522872096
149	0.9073482428	0.252285869
150	0.9089456869	0.2514334487
151	0.9073482428	0.2505376895
152	0.9073482428	0.2504567155
153	0.9025559105	0.2494448336
154	0.9025559105	0.2493532808
155	0.9025559105	0.2492822519
156	0.9025559105	0.2488100338
157	0.9041533546	0.2475623963
158	0.9041533546	0.2470106423
159	0.9057507987	0.24658364
160	0.9057507987	0.2464964504
161	0.9057507987	0.2460046835
162	0.9057507987	0.2458445881
163	0.9057507987	0.2456999465
164	0.9057507987	0.2456320132
165	0.9073482428	0.2451111181
166	0.9073482428	0.2450401136
167	0.9073482428	0.2449639171
168	0.9057507987	0.2443120304
169	0.9057507987	0.2442642553
170	0.9057507987	0.2441989789
171	0.9057507987	0.2438369605
172	0.9057507987	0.2427557315
