iter	Accuracy	Logloss
0	0.8022328549	0.659522341
1	0.8309409888	0.6305045047
2	0.8500797448	0.5946502442
3	0.8452950558	0.5742865993
4	0.8452950558	0.557519502
5	0.8484848485	0.533089767
6	0.8468899522	0.5176535185
7	0.8516746411	0.506888601
8	0.8500797448	0.4935050611
9	0.8548644338	0.4790479547
10	0.8564593301	0.4705905945
11	0.8564593301	0.4535196356
12	0.8532695375	0.4423462595
13	0.8500797448	0.4333148573
14	0.8516746411	0.4243179151
15	0.8484848485	0.4158354885
16	0.8468899522	0.4099693481
17	0.8484848485	0.404685962
18	0.8516746411	0.3996083139
19	0.8516746411	0.3948195365
20	0.8548644338	0.3910017728
21	0.8580542265	0.3869914613
22	0.8612440191	0.382377515
23	0.8548644338	0.3752628795
24	0.8580542265	0.371858101
25	0.8532695375	0.3649829092
26	0.8548644338	0.3601134572
27	0.8580542265	0.3557715895
28	0.8580542265	0.3527420263
29	0.8564593301	0.350328923
30	0.8548644338	0.3485757198
31	0.8580542265	0.3460520086
32	0.8596491228	0.3422552714
33	0.8596491228	0.3397009453
34	0.8612440191	0.3351604942
35	0.8612440191	0.333981406
36	0.8612440191	0.3321177408
37	0.8612440191	0.3308445202
38	0.8644338118	0.3268866775
39	0.8612440191	0.3245363372
40	0.8612440191	0.3229501046
41	0.8660287081	0.3201268149
42	0.8660287081	0.318353875
43	0.8660287081	0.3178554456
44	0.8676236045	0.3149986936
45	0.8819776715	0.3126953466
46	0.8803827751	0.3110160767
47	0.8787878788	0.3101426509
48	0.8803827751	0.3073263944
49	0.8851674641	0.3062329939
50	0.8883572568	0.3025749243
51	0.8867623604	0.3014920857
52	0.8867623604	0.2997534598
53	0.8867623604	0.2965542247
54	0.8867623604	0.2946683893
55	0.8867623604	0.2935879356
56	0.8867623604	0.2935649622
57	0.8867623604	0.2922636577
58	0.8867623604	0.2913461591
59	0.8867623604	0.2912382524
60	0.8883572568	0.2895409008
61	0.8883572568	0.2895376397
62	0.8883572568	0.2891199091
63	0.8883572568	0.2891185219
64	0.8883572568	0.2879642566
65	0.8883572568	0.2875949793
66	0.8899521531	0.2870250744
67	0.8899521531	0.2862813119
68	0.8915470494	0.2852677341
69	0.8915470494	0.284837738
70	0.8883572568	0.2824457342
71	0.8915470494	0.2814971826
72	0.8915470494	0.2814954548
73	0.8915470494	0.279279499
74	0.8915470494	0.2789994625
75	0.8931419458	0.2782491048
76	0.8931419458	0.2775007427
77	0.8931419458	0.2753106563
78	0.8931419458	0.2751610861
79	0.8931419458	0.2751535905
80	0.8931419458	0.2750107371
81	0.8931419458	0.2750015867
82	0.8947368421	0.2741710413
83	0.8947368421	0.271854139
84	0.8963317384	0.2712054093
85	0.8963317384	0.2712039248
86	0.8963317384	0.2703942355
87	0.8963317384	0.2690267608
88	0.8963317384	0.2684492388
89	0.8963317384	0.2679768978
90	0.8947368421	0.267001333
91	0.8947368421	0.2663921496
92	0.8947368421	0.2663865036
93	0.8947368421	0.2663445237
94	0.8947368421	0.2653188751
95	0.8947368421	0.2653085322
96	0.8947368421	0.2650218033
97	0.8963317384	0.2643101645
98	0.8963317384	0.2637975471
99	0.8979266348	0.2635001102
100	0.8979266348	0.2625644082
101	0.8947368421	0.2616002814
102	0.8963317384	0.2609896622
103	0.8979266348	0.2603020432
104	0.9011164274	0.2596264707
105	0.8995215311	0.2585720567
106	0.8995215311	0.2579583711
107	0.8995215311	0.257846376
108	0.8995215311	0.2577453321
109	0.8995215311	0.257607711
110	0.8995215311	0.2575569214
111	0.8995215311	0.2569783042
112	0.8995215311	0.255916565
113	0.8979266348	0.2552619216
114	0.8995215311	0.2549325313
115	0.8995215311	0.2540716874
116	0.9027113238	0.2524293112
117	0.9011164274	0.2520852705
118	0.9027113238	0.2510577967
119	0.9027113238	0.2507017096
120	0.9043062201	0.2495942671
121	0.9043062201	0.2484376168
122	0.9043062201	0.2480298883
123	0.9059011164	0.2465264474
124	0.9043062201	0.2462894373
125	0.9059011164	0.2457954857
126	0.9074960128	0.2452603086
127	0.9074960128	0.2449766217
