iter	Accuracy	Logloss
0	0.7657028913	0.6692186624
1	0.7976071785	0.6380910978
2	0.7966101695	0.6181050355
3	0.8075772682	0.5967611083
4	0.8185443669	0.5792782176
5	0.8105682951	0.5593343261
6	0.8325024925	0.5460704069
7	0.8315054835	0.5318817108
8	0.8414755733	0.5190978578
9	0.8424725823	0.5036488131
10	0.851445663	0.4941327142
11	0.8474576271	0.484882176
12	0.8484546361	0.4781290284
13	0.8494516451	0.4671559966
14	0.8494516451	0.4576902228
15	0.8464606181	0.4487292213
16	0.8404785643	0.4418271674
17	0.8434695912	0.4353040123
18	0.8454636092	0.4296262214
19	0.852442672	0.422152853
20	0.850448654	0.4180114685
21	0.852442672	0.4095022976
22	0.853439681	0.404109875
23	0.8544366899	0.400692606
24	0.8554336989	0.3981093828
25	0.8564307079	0.3949572486
26	0.8564307079	0.3892517394
27	0.8544366899	0.3846315059
28	0.8554336989	0.383231531
29	0.8564307079	0.3786336304
30	0.8574277168	0.3750661772
31	0.8574277168	0.3733353772
32	0.8584247258	0.3685802638
33	0.8604187438	0.3668076581
34	0.8584247258	0.3649138035
35	0.8564307079	0.3634851062
36	0.8594217348	0.3608250566
37	0.8574277168	0.3575312271
38	0.8574277168	0.3539896059
39	0.8544366899	0.3523707442
40	0.8564307079	0.3498655644
41	0.8564307079	0.348230516
42	0.853439681	0.3460172765
43	0.8554336989	0.3427756282
44	0.8604187438	0.3402360667
45	0.8604187438	0.3387917911
46	0.8604187438	0.3348436745
47	0.8604187438	0.3333485262
48	0.8604187438	0.331105469
49	0.8594217348	0.3300198282
50	0.8584247258	0.328087028
51	0.8624127617	0.3263274142
52	0.8614157527	0.3247573563
53	0.8644067797	0.321994192
54	0.8673978066	0.3203627034
55	0.8664007976	0.3192153885
56	0.8664007976	0.3178954348
57	0.8664007976	0.3172055793
58	0.8634097707	0.3161060033
59	0.8664007976	0.3147852281
60	0.8673978066	0.3141250686
61	0.8693918245	0.3121093567
62	0.8703888335	0.310733875
63	0.8683948156	0.3099739782
64	0.8703888335	0.3094911433
65	0.8683948156	0.3073449938
66	0.8683948156	0.3069764096
67	0.8683948156	0.3062015431
68	0.8703888335	0.3049903634
69	0.8693918245	0.3046734735
70	0.8703888335	0.3036837364
71	0.8693918245	0.3029988404
