iter	Passed	Remaining
0	25	7644
1	50	7589
2	77	7678
3	103	7637
4	131	7730
5	156	7682
6	200	8407
7	223	8155
8	246	7960
9	273	7939
10	299	7877
11	330	7932
12	353	7794
13	375	7677
14	402	7656
15	432	7668
16	457	7609
17	479	7512
18	504	7455
19	528	7393
20	555	7374
21	579	7328
22	603	7266
23	626	7204
24	653	7188
25	683	7199
26	713	7209
27	742	7213
28	769	7189
29	795	7162
30	827	7176
31	852	7140
32	876	7094
33	902	7057
34	925	7008
35	957	7020
36	985	7006
37	1014	6994
38	1040	6962
39	1068	6948
40	1091	6895
41	1119	6878
42	1145	6849
43	1170	6812
44	1196	6782
45	1220	6739
46	1247	6716
47	1274	6691
48	1298	6650
49	1323	6619
50	1348	6584
51	1373	6552
52	1403	6538
53	1426	6499
54	1451	6465
55	1478	6443
56	1507	6426
57	1531	6388
58	1554	6348
59	1580	6320
60	1606	6295
61	1633	6271
62	1658	6240
63	1684	6212
64	1712	6189
65	1738	6164
66	1762	6127
67	1794	6122
68	1821	6096
69	1848	6075
70	1876	6050
71	1898	6013
