iter	Accuracy	Logloss
0	0.7224201577	0.6803196538
1	0.7407001952	0.670523468
2	0.7315482779	0.6594454879
3	0.7495852396	0.6483261157
4	0.7540711071	0.6367416981
5	0.7574061854	0.6272627007
6	0.7577036568	0.6186977043
7	0.76026361	0.6100645212
8	0.7790994939	0.6030294124
9	0.7698302877	0.5968553643
10	0.7726486159	0.5896016168
11	0.7793969653	0.5836521113
12	0.7919774528	0.5767819873
13	0.7928307706	0.5702105615
14	0.7919774528	0.563804315
15	0.790231721	0.5601907413
16	0.7910850388	0.5542963821
17	0.7905291924	0.548904957
18	0.7885250855	0.5435176192
19	0.7877108641	0.5382229272
20	0.7882667105	0.5334061264
21	0.7922749242	0.5289089146
22	0.7922749242	0.5245831752
23	0.7979897734	0.5202845548
24	0.7979897734	0.5158473226
25	0.8005497267	0.5117941681
26	0.8025147372	0.5078145528
27	0.7990623699	0.5041561483
28	0.7990623699	0.5005897408
29	0.8047772191	0.4972380795
30	0.8115646648	0.4940651894
31	0.8073371723	0.4908740686
32	0.8081904901	0.4888070561
33	0.8098580293	0.4860845814
34	0.8141637143	0.4832221
35	0.8144220894	0.4794927191
36	0.8095996542	0.4767746561
37	0.8113062897	0.4741013589
38	0.8135687716	0.4715980095
39	0.8135687716	0.4690373405
40	0.8135687716	0.466572399
41	0.8096387506	0.4641927395
42	0.8082295864	0.4619475721
43	0.8107895397	0.460205793
44	0.8156119748	0.4579819704
45	0.8159094462	0.4558429434
46	0.8153535998	0.4538360079
47	0.8181719281	0.4522209355
48	0.8153535998	0.4493204356
49	0.8125352715	0.4477216151
50	0.8139444356	0.4460349498
51	0.8139444356	0.4442923921
52	0.8167627639	0.442873608
53	0.8150952248	0.4403083975
54	0.8170602353	0.4388499729
55	0.8190252458	0.4371711254
56	0.8193227172	0.4353032559
57	0.8193227172	0.433494101
58	0.8193227172	0.4319366402
59	0.8182110244	0.4304151866
60	0.8173577066	0.428819091
61	0.8153926961	0.4274024154
62	0.8165043889	0.4258632178
63	0.8173577066	0.4240062802
64	0.8168018603	0.4226158477
65	0.8185084958	0.4215446798
66	0.8168018603	0.4207232597
67	0.8196592849	0.4186478456
68	0.8188059671	0.4167931139
69	0.8224776132	0.4155994563
70	0.8207709777	0.4142933977
71	0.8238867773	0.4134900137
72	0.8273000483	0.4117787272
73	0.8255934128	0.410702661
74	0.8244426237	0.4094366969
